Sujet Age Gender Blind Block Essai Structure Nombre_X Identifiable Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
Ka 25 F N 2 58 exactly 8 NA 7 blue green 3 1 4 0 6 0 4 1 -1 FALSE Inferior 0 3193
Ka 25 F N 2 59 no-less-than 7 NA 8 red green 5 0 2 0 4 1 4 1 1 TRUE Superior 100 3441
Ka 25 F N 2 60 exactly 6 NA 6 red yellow 4 0 1 1 1 1 4 1 0 TRUE Equal 100 2991
Ka 25 F N 2 61 no-less-than 8 NA 11 green red 5 1 6 1 2 0 6 0 3 TRUE Superior 100 4531
Ka 25 F N 2 62 more-than 8 NA 6 red yellow 1 0 3 1 1 0 3 1 -2 FALSE Inferior 0 2726
Ka 25 F N 2 63 exactly 8 NA 8 blue yellow 4 1 2 1 3 0 2 1 0 TRUE Equal 100 5350
Ka 25 F N 2 64 exactly 7 NA 5 blue black 3 0 2 0 2 0 5 1 -2 FALSE Inferior 0 2225
Ka 25 F N 2 65 exactly 7 NA 8 blue yellow 2 1 1 0 2 0 6 1 1 ? Superior 0 3327
Ka 25 F N 2 66 no-less-than 8 NA 5 blue green 5 0 1 0 4 0 5 1 -3 FALSE Inferior 0 5201
Ka 25 F N 2 67 exactly 8 NA 8 red yellow 6 0 3 1 2 1 3 1 0 TRUE Equal 100 4330
Ka 25 F N 2 68 no-more-than 8 NA 11 green black 1 0 6 1 5 1 1 0 3 FALSE Superior 0 7825
Ka 25 F N 2 69 exactly 6 NA 5 red yellow 5 1 5 0 1 0 1 0 -1 FALSE Inferior 0 2260
Ka 25 F N 2 70 more-than 8 NA 5 red yellow 1 0 6 0 4 0 5 1 -3 FALSE Inferior 0 2760
Ka 25 F N 2 71 exactly 8 NA 9 blue red 5 0 5 1 1 0 4 1 1 ? Superior 0 4882
Ka 25 F N 2 72 less-than 6 NA 6 green red 4 0 5 0 3 1 3 1 0 FALSE Equal 0 3477
Ka 25 F N 2 73 no-more-than 8 NA 6 green red 1 0 5 0 3 1 3 1 -2 TRUE Inferior 100 3611
Ka 25 F N 2 74 no-less-than 8 NA 8 blue green 5 1 3 1 5 0 2 0 0 TRUE Equal 100 4029
Ka 25 F N 2 75 no-less-than 6 NA 8 red green 3 1 2 1 3 1 4 0 2 TRUE Superior 100 4463
Ka 25 F N 2 76 no-more-than 8 NA 7 red yellow 5 1 1 1 4 0 1 1 -1 TRUE Inferior 100 8291
Ka 25 F N 2 77 exactly 8 NA 10 red yellow 5 0 5 0 5 1 5 1 2 ? Superior 0 2292
Ka 25 F N 2 78 no-more-than 6 NA 6 red black 3 0 2 1 3 0 4 1 0 TRUE Equal 100 9027
Ka 25 F N 2 79 more-than 7 NA 6 green blue 2 0 4 1 1 1 1 1 -1 FALSE Inferior 0 14329
Ka 25 F N 2 80 more-than 8 NA 11 red green 2 0 6 1 4 1 1 1 3 TRUE Superior 100 3126
Ka 25 F N 2 81 less-than 6 NA 7 blue red 3 1 1 1 3 0 3 1 1 FALSE Superior 0 2740
Ka 25 F N 2 82 no-more-than 7 NA 4 green black 1 0 2 0 4 1 4 0 -3 TRUE Inferior 100 2290
Ka 25 F N 2 83 more-than 6 NA 6 green blue 3 1 6 0 1 0 3 1 0 FALSE Equal 0 2357
Ka 25 F N 2 84 exactly 6 NA 7 red black 3 1 1 1 3 1 2 0 1 ? Superior 0 2289
Ka 25 F N 2 85 less-than 8 NA 10 red green 5 1 4 0 5 1 5 0 2 FALSE Superior 0 3242
Ka 25 F N 2 86 more-than 6 NA 9 green yellow 3 0 3 0 5 1 4 1 3 TRUE Superior 100 4580
Ka 25 F N 2 87 no-less-than 7 NA 6 red yellow 3 0 1 0 1 1 5 1 -1 FALSE Inferior 0 5786
Ka 25 F N 2 88 no-more-than 7 NA 6 blue red 2 1 4 0 2 1 2 1 -1 TRUE Inferior 100 3960
Ka 25 F N 2 89 exactly 6 NA 3 green black 1 0 3 0 4 0 3 1 -3 FALSE Inferior 0 2305
Ka 25 F N 2 90 less-than 7 NA 6 green yellow 6 0 2 1 2 1 2 1 -1 TRUE Inferior 100 4229
Ka 25 F N 2 91 exactly 7 NA 9 red blue 3 1 3 0 4 1 2 1 2 ? Superior 0 2592
Ka 25 F N 2 92 no-less-than 8 NA 9 red green 4 1 3 1 2 1 6 0 1 TRUE Superior 100 5332
Ka 25 F N 2 93 more-than 8 NA 8 blue green 4 1 2 0 4 1 3 0 0 FALSE Equal 0 2050
Ka 25 F N 2 94 more-than 6 NA 7 blue black 3 0 2 1 5 1 3 0 1 TRUE Superior 100 4115
Ka 25 F N 2 95 exactly 7 NA 10 red yellow 1 0 4 1 6 1 3 0 3 ? Superior 0 5249
Ka 25 F N 2 96 exactly 8 NA 11 red yellow 4 1 4 0 1 1 6 1 3 ? Superior 0 3546
Ka 25 F N 2 97 less-than 7 NA 5 green blue 5 1 4 0 1 0 3 0 -2 TRUE Inferior 100 2744
